id,name,city,postal_code,department,latitude,longitude,status
8a90ef10-bfc5-42b4-84ce-86a84e219969,Golf d'Angoulême - L'Hirondelle,Angoulême,16000,16,45.63630250,0.14233070,verified
d9b9bb70-c5b7-41aa-a35e-1fb1a4b26a46,Golf International de la Prèze,Écuras,16220,16,45.71145800,0.58218100,corrected
231e876c-1e0f-428e-aa0a-c7456ffc9a78,Golf du Cognac,Cognac,16100,16,45.68900000,-0.27700000,corrected
26441d68-6313-4bcf-ad05-30808f756ff7,Golf de Rouillac,Rouillac,16170,16,45.78051780,-0.06713890,verified
76ece9f7-a5d3-4c15-a180-27f5cb306839,Golf de Saintes Louis Rouyer-Guillet,Fontcouverte,17100,17,45.76229360,-0.60122050,verified
0ce3ef57-241c-4587-a001-e2e39fde424a,Golf La Rochelle Sud,La Jarne,17220,17,46.12149090,-1.09103050,verified
07d24695-07b2-469d-8a4e-b632f46fdfe3,Golf de La Prée,Marsilly,17137,17,46.22068940,-1.15296860,verified
36a69fa7-e57c-4ea1-bbf0-4fe8fa47841c,Golf Club Rochefort Océan,Saint-Laurent-de-la-Prée,17450,17,45.98387900,-1.00815930,verified
755dc239-7545-45e6-9c92-81f6c3672f53,Golf de Royan,Saint-Palais-sur-Mer,17420,17,45.65822380,-1.10394450,verified
f976d565-3749-495a-ae5a-e09bece06d8d,Golf d'Oléron,Saint-Pierre-d'Oléron,17310,17,45.93653320,-1.30815360,verified
92522a52-0955-4497-bc1d-9793ba19d060,Golf Louis Rouyer-Guillet,Saintes,17100,17,45.76229360,-0.60122050,verified
0fda1d1a-cd88-4e34-81e5-017630102912,Golf de Sancerre,Sancerre,18300,18,47.34821800,2.86718640,verified
30a70f70-30aa-4bb8-9b24-4fcc6b2f19c9,Golf de la Picardière,Vierzon,18100,18,47.24098810,2.13352790,verified
cf2bdb5d-d7aa-40a5-ae27-adf5b2b5e332,Golf de Brive-Planchetorte,Brive-la-Gaillarde,19100,19,45.13921400,1.50261500,corrected
2c5ac64d-8264-4e2b-91c6-275dae376583,Golf du Coiroux,Aubazine,19190,19,45.18575000,1.71749000,corrected
8e4b4ab2-e48b-47cd-8a4d-3eefdd3f6ec2,Golf de Neuvic,Neuvic,19160,19,45.38767750,2.28987090,verified
7e8f56c8-048a-4dbe-a44d-47ee71d744dd,Golf de Spérone,Bonifacio,20169,20,41.37297330,9.21016070,verified
438b7f29-b10c-4e1c-bdeb-814a3ac658a9,Golf du Château de Chailly,Chailly-sur-Armançon,21230,21,47.27240100,4.48976040,verified
d720096d-1dfe-40af-90d1-b647d6edc133,Golf Country Club Norges Dijon-Bourgogne,Norges-la-Ville,21490,21,47.41227280,5.05578280,verified
